wolof_word,word_type,english_meaning,wolof_phrase,english_phrase
mbooxa,n,corn,Mbooxa laa nama.,I miss eating corn.
mbor,n,"wrestler, a hard working person can be call a ""mbor"".",Mbor yu baax yi bayi neñu bore.,The mighty wrestler has stopped wrestling.
mbota,v,to to crawl under,Mungee mbota ci ron table bi.,He is crawling underneath the table.
mbote,n,lamb,Jenda na mbote pur yar ko.,I bought a lamb for a pet.
mbubba,n,"dress, shirt",Sa mbubba bi jeeka.,Your dress is elegant.
mbuggal,n,"bother, irritate",Bayil di ko mbuggal.,Stop provoking him.
mbuggéel,n,"liking, love",Mbuggéel yombul.,Loving is not easy.
mbuum,n,"dish, This dish is made with edible leaves and served with coos-coos.",Munuma tooga mbuum.,I cannot cook this dish.
mbuuru,n,bread,Bul di saani mbuuru.,do not throw bread away.
mbuus,n,"plastic bag, container",Defal yéré yi ci mbuus mi.,Put the clothes in the plastic bag.
meeb,n,"bait, to bait",Meeb na jean bi ak saan.,He bait the fish with a worm.
meeb,v,"to handle, to bait, to carry, With care/with two hands",Meebal booli weer bi.,Handle the glass bowl with care.
meego,n,"butt, a stub, Cigarette stub",Saani na meego bi.,He threw the butt.
meen,n,sap,Su meeni ksau taxee ci sa yere du deñaat.,The cashew sap stains on your clothes it will never remove.
meena,adj,"usual, The same",Meena mi laa gis.,I saw the same thing.
meeña,n,sprout,Xooxi mango bi meeña na.,The mango tree has sprouted.
meer,va,"to be dizziness, Caused by travelling",Munge neer.,He is dizzy.
meer,n,"old woman, mum, mayor",Kii meerla bul ko faale.,This woman is old don't mind her.
mees,va,to be skinny(slang),Xoolal ni laamin meesee.,Look at how skinny Lamin is.
meesees,n,flea,Fii dafa am meesees.,Here has fleas.
meetar,n,meter,Netti meetar la dog'.,He has cut three metres.
meetit,n,"sorrow, pain",Meetit miunaa gaawa tey nit.,Sorrow can easily kill a person.
meéda,n,"unslaughtered, to faint, be in coma, Dead animal(an animal slaughtered without performing religious rights.",Xar bi meéda na.,The sheep is dead.
meéngoo,adj,"alike, agree, unite, similar",ñoom ñaar deñu meéngoo.,Both of them are alike.
meéti,adj,"painful, sorrowful",Loolu dafa meeti ci xol.,That is sorrowful in the heart.
mefre,va,to be lack of front tooth,Munuta xapati paski dafa mefre.,She cannot take a bite because she lacks a front teeth.
mekka,va,to be state of being quiet,Mustafaa dafa mekka rek moom.,Mustapha is just the quiet type.
mel,v,to look like,Yangi mel ni lingeer.,You look like a princess.
melax,n,shine,,
melaxal,n,"lightening, thunder lightening",Muung don melax torop be muy taw.,It was lightening very much when it was raining.
melaxal,v,to shine,Paaseh baa ko melaxal.,The ironing made it shine.
meles,v,"to disappear, go suddenly(expressi",Dafa ne meles.,It sudddenly dissappeared.
melo,va,"to be behavior, likeness",Melombi neexut ko.,He doesn't like his behavior.
melokaan,n,"sign, behavior, indications, symtoms",Malokaan bi dafma réer.,I lost the indications.
mer,va,"to be sad, vexed, upset",Tukki kat bi dafa mer.,The traveller is sad.
meye,n,offering,,
méecé,n,"profession, occupation",Leeta mooy suma méece.,Plaiting/braiding is my profession.
mi,da,the,Ndoxmi dafa xesew xun.,The water has a very bad smell.
mii,dem,this,Ndox mii setul.,This water is not clean.
miikar,n,quiet,,
miin,va,"to be accustomed to, be used to, familiar wit",Xaj bi daf ko miin.,The dog is used to him.
miir,n,dizziness,Miir baaxul.,Dizziness is not good.
miir,va,to be dizzy,Faatu dafa doon miir.,Faatu was dizzy.
miis,va,"to be used to, be familiar with",Faatu ak ami deñu miisante.,Faatu and ami are used to one another.
minisé,n,carpenter,Minise bi moo defar lal wi.,the carpenter made the bed.
minista,n,minister,Minista bii moo yore wëryuyaram.,this minister is responsible for health.
miskar,va,"to be calm, quiet, a person who keeps a low profile.",Kii moom miikar la.,This is somebody quiet.
miskiin,n,poor man,Miskiin baangee yalwaan.,The poorman is asking for charity.
miswi,n,lamb master,Deñu soxla miswi bi ci waan wi.,We need the lamb raister in the kitchen.
mobilet,n,motor bike,Abdu dafa jënda mobilet.,Abdu bought a motor bike.
moca,v,to suck,Mooca mintee yaaxa suma boñ yi.,Mulching candy spoiled my tooth.
mocaat,v,to to suck bones,Dumaay mocaat boppi jën.,I don't suck fish heads.
moo,se,"he she, it",Moo ko sampa lu yaaga.,He built it a long time.
moo,n,"human being, showing surprise",,
mooka,va,to be well poundered/grinned,Wol ko be mu mooka.,Pound it until it is well grinned.
móol,n,fisherman,Móol yi nappi neñu.,The fisherman has gone fishing.
moolu,v,"to implicate, put a curse on him",Soxlut ku ko moolu.,He doesn't want anybody to implicate him.
moom,spn,"him, it, her",Xanaa moom du pare.,Won't he be ready.
moom,v,"to possession, own",Moo moom kër gi.,He owns the compound.
moon,v,to Preparation of grain flour into tiny balls.,Mungee moon ruy bi.,He is preparing the pap into balls.
mootax,ex,that's why,Loolu mootax mu am worsag.,That is why he is lucky.
moppa,v,to smother,Mbindaan moppa na ko ak njegenaay bi.,The maid smothered him with the pillows.
móróg,adj,round,Mangee sampa neeg bu móróg.,I am building a round house.
morom,n,age group,Amut fi morom.,He doesn't have an age group here.
mos,v,to to taste,"Mos na ko, Mune dafa xormbet.",He tasted it and said it is tasteless.
moto,n,vehicle,Amuñu moto bi ñoo yoobu.,We don't have a vehicle that will take us.
moxon,v,to to crumble,Moxoñal ko mbuuru mi.,Crumble the bread for her.
moy,v,"to hear, go suddenly, understand, sneak(expression)",,
moy,va,"to be miss, be bent",Xeer bi daf komoy.,The stone missed him.
moyal,v,to tilt,Bul moyal satoogu bi baraa ngaa daanu.,Don't tilt your chair before you fall.
moytu,n,more carefully,,
moytu,va,"to be avoid, be careful",Moytul sa xarit yu bon yi.,Be careful of your bad friends.
mu,av,"to is, are",,
mu,cp,"he, it, she",Wox ko mu ñaw ko.,Tell her to sew it.
mucca,va,"to be to survive, be save, be freed",Mucca na ci aksidan bi.,He survived the accident.
muj,n,"end, last",Kaf bi du muj.,The joke will not last.
muje,n,"end, the last, be last",Yaa muje eksi.,You were the last one to arrive.
mujeél,n,"the end of, be the last",Moo ñu mujeéltel.,He was the last one to join us.
muji,n,"the end of, last",Yoónam bu muje bi la ko indi.,He brought it on his last trip.
muk,adv,never,Dufa eeg muk.,He will never climb the tree.
mukus,adj,be quiet,Dumay oólu nit ku mukus.,I don't trust quiet people.
mun,adv,be able,Su ko munut du ko def.,"If he won't able to do it, he won't do it."
mun,va,"to be defeat, be better than",Dafa muna lekka bu baari.,He can eat alot.
mungi,,"he, it, she",Mungi beg xaw ma lu xew.,He is glad I don't know what happened.
mun-mun,n,"ability, caprbility",Xamna sa mun-muni legeen bi.,He knows your capability on the job.
muñ,va,"to be be patient, persevere",Soo muñee yalla dina la mey loo bugga.,If you are patient God will give you what you want.
mus,adv,ever,Mus ngaa tukki.,Have you ever travelled.
musal,n,"save from trouble, etc.",,
musal,v,to save,Yallaa ma musalci lab.,God saved me from drowing.
musalkat,n,savior,Man yallay suma musalkat.,"Me, God is my saviour."
musóor,n,"head tie, head dress",Miinuma di musóor suma boppa bi.,I am not used to tying my head with a head tie.
mustaas,n,whiskers,Dinaa wat suma mustaas yi.,I will shave my whiskers.
musuwaar,n,"serviette, handkerchief",Mungi ñandu ci musuwaar bi.,She blew her nose with the handkerchief.
mut,adj,"be sufficient, be enough",Mdox bi mut na.,The water is sufficient.
mutali,v,"to complete, finish",Mutali neñu ndaje bi.,We have finished the meeting.
mutu-mutu,n,"tiny insect, Invisible biting insects",Saxaar rekamuna daaxa mutu-mutu.,Only smoke can get ride of these tinny insects.
muumu,n,"dumb, mute",Kii muumu la.,He is a dumb person.
muur,v,to cover,Muural ko añam bi.,Cover his lunch for him.
muuril,v,to to uncover,Muuril bool bi ma seet li ci nekka.,Uncover the bowl let me see what's in there.
muuru,v,to to cover(oneself),Muuru na ndigte dafa seeda.,He covered himself because its cold.
muus,ex,word for calling a cat,,
muus,n,a cat,Daaxa leen muus yi ci biti.,You(pl) drive the cats outside.
muus,va,to be wise,Nuru na ku wara muus de.,He looks like someone who should be wise.
muusal,v,to steam,Mbaa muusal ngamaalo bi.,Hope you have steamed the rice.
muuse,v,"to cheat, fool, take advantage, decieve",Daf ma doon paree muuse.,She was about to fool me.
muut,v,to eat (powder),Doo bayi muut suguf meew.,You better stop eating the powder milk.
muuti,n,anus,,
muut-muuti,va,to be restless,Yangee muut-muuti ci kow toogu bi.,You are restless on the chair.
muxa,v,"to fall on one's face, Especially on sand.",Daanu be muxa suuf.,He fell on his face on the sand.
muxat,n,"fool, This term is used for insulting people.",Xamut dara muxat la.,He knows nothing he is a fool.
na,opt,"let him, let her, let it",Na sa jabar now.,Let your wife come.
na,postp,"see""la""",,
naaf,v,to pile (in the large piles,Naaf leen yéré yi.,You(pl) pile the clothes.
naag,n,enclosure,Mungi deñca mbaamyi ci naag bale.,He kept the pigs in that enclosure.
naaj,n,sun,Naaj bi tangoón na demba.,The sun was hot yesterday.
naaje,va,"to be sunny, late in the afternoon",Dama naaje legeey si tey.,I came to work late today.
naajo,n,"pumpkin, squash",Xooxi naajo la bugga ji.,I want to plant pumpkin seeds.
naaka/mburu,n,pounded mould grain,Naaka leñu joxee ci ngente li.,Pounded grain was given at the naming ceremony.
naam,ex,"yes, here I am, response to a call",Ku la o ngane naam.,"If anybody calls you, say yes."
naama,v,"to miss someone, sherpen, miss each other",Deñu juwaatloo ci gaaraas bi.,They missed each other at the car park.
naan,v,to drink,Meyal xale bi mu naan.,Give the child to drink.
naan,n,a drink(soft/hard),Jendal ma naan buseeda.,Buy me a cold drink.
naangateku,v,to dart,Muus mi nangateku na balaa muy dee.,The cat darted away before it could get killed.
naan-mbuuru,n,"pap, rice and baobbab pa",Gej neñoo tooga naan-buuru torop.,It's been a very long time since we cooked pap.
naar,n,"Moor, Arabic decent",Naar yu bari ci Gambia bi Muritani leñu jogee.,Many Mooris in the Gambia came from Mouritania.
naat,va,"to be prosperity, be prosperous",Yal na xala bi naat.,May the child be prosperous.
naat,n,Guinea-fowl,Musuma mos yaapi naat.,I have never tasted Guinea-fowl meat.
naaw,v,to fly,Suma amoon mbagga dinaa naaw.,"If I had wings, I will fly."
naax,va,"to be abundant, be plenty",Lekka yangi fi naax.,The food is abundant here.
nab,va,to be sensitive,Moom dafa nab.,She is sensitive.
nacca,v,to bleed,Sa norosi bangee nacca.,Your scrateh is bleeding.
nafa,n,"purse, wallet",Saaca neñu nafam bi.,His wallet is stolen.
nag,n,cow,Nag dafa seer leegi torop.,Cows are very expensive now.
nag,conj,"how about, and","Nep angee wox, yow nag?","Everyone is speaking, how about you?"
naj,v,"to impede, hinder, One's progression",Bul dee naj worsagi jaambur.,Do not impede on one's luck.
naka,int,"what, how",Naka leñu dee woxee damal si angale?,"How do we say ""demal"" in English."
nal,v,to squeeze,Mungee nal lemon yi.,She is squeezing the lime.
nale,dem,"there, that way",Bul jaaree nale.,Do not pass that way.
nama,adj,"slippery, immature",,
nama,v,"to cut, slip",,
nama,va,to be miss,Mangi la nama torop,I miss you very much
nampa,v,to suckle,Liir bi nampatut leégi,The baby is not suckling now
nampatal,n,"head, temple",Bul doór nampatalam bi balaa muy dee,do not beat his temple before he dies
nangam,n,"amount, so much",Woxal ne nangam laa soxla,"Say that, I need so much"
nangu,v,"to agree, agreement",Suugeen woxtaanee dingeen ko nangu,If you(pl) discuss you will agree to it
napa,v,"to fish, catch",Waas la napa bimu napijee,He caught tilipia when he went fishing
nar,va,"to be ready to do something, intend to, to lie",Nar nga yooleeku de!,You are ready to sneak away!
nas,v,to thread,Ngella nasal ma won bi,Please thread the needle for me
nasax,va,"to be weak, unenergetic",Kii dafa nasax,This person is an unenergetic
nata,v,"to measure, try in, wish, aim for, plan for",Nata ko bu gaaw,Measure her quickly
nataal,n,"portrait, photograph, picture",Won ma sa nataal yi,Show me your pictures
naw,va,"to be respect, to raise, esteen. For someone",Dafa ko naw,He respect her
nawet,n,rainy season,Nawet bangee jege,The rainy season is approaching
nawetaan,n,any activity taking place in the rainy season,Nawetaan dafa de bari po torop,Rainy season is full of games and activities
nax,n,mulch,,
nax,va,"to be fool, to kid, to tease, to calm",Dafa la nax,He is fooling him
naxar,n,"sorrow, to be sad",Bugguma nga am naxar,I don't want you to be sad sad
naxari,va,"to be unpleasant, sorrowful, difficult, hard",Muñ dafa naxari,To be patient is difficult
nay,va,to be stingy,Moom dafa nay,She is stingy
ndaa/ndaal,n,water container,Suma ndaal dafa dee seeda,My jar is usually cold
ndaama,n,"dwarf, short person, species of cattle, short person, etc., under size",Naari ndaama ñoo muna anda,Two short people can go together
ndab,n,"bowl, container",Mangee raxas ndab,Iam cleaning my containers
ndaje,n,"gathering, audience, meeting, crowd",Ndaje bi amoon na solo lool,The meeting was very important
ndakaaru,n,Dakar(Senegal),Ndax-dekka nga ndakaaru lu yagga?,Have you lived in Dakar a long time?
ndam,n,"victory, succeed",Lii dee ndam la,This is a victory
ndam demut,n,nil,,
ndam dikut,n,nil,,
ndanka,adj,"slowly, gradually",Mangee fexe ndanka ndanka,Iam trying slowly slowly
ndaw,adj,be small,Ndawoon naa bimaa janga,I was small when I was going to school
ndaw,n,"representative, youth, adlescence, virginity",Mungi nekka ci ndawam,She is in her youth years
ndawal,n,"fish, meat, Already bought and cooked",Jox ko ndawalam bi ñu dem marse,"Give her, shopping money let us go to the market"
ndawtal,n,"gift of money, Usually give in ceremonies like naming/wedding ceremonies etc..",Du may jel ndawtal bu ndaw,I don't take small gifts
ndax,conj,"so that, in order to, whether",Dimbale ma ndax ma dem,Help me so that I can go
ndekki/ndeewo,n,breakfast,Ndekki neñu bu yaaga,We took our breakfast a long time
ndey,n,mother,Bul dee saaga ndey yi,Do not insult the mothers
ndeyjoor,n,right hand,Jox ma sa ndeyjoor bi,Give me your right hand
ndënda,n,"drum, tom-tom",Nungee tügga ndënda yi,They are beating the tom-tom
ndëppa,n,"dance, exorcisin",Xamuloo ndéppa,You don't know exorcisin
ndës/basan,n,mat,Ci basan bi la tedda,She laid on the mat
ndësit,n,"remains, reminant, residue",Tuur neñu ndesit yi,The reminant are poured
ndëstan,v,"to sleep on the floor with, mat/matress",Tey daal ndëstaan laay def,I am going to sleep on the floor today
ndëwénal,n,"gift, A gift gievn on ramadan/koriteh and tobaski etc..",Gisaguma ndewénal bi,I haven't seen the gift yet
ndig,conj,"because, because of",Du ñow ndig dana ko fi soxla,He will not come because I need him here
ndigga,n,waist,Natal ndiggan bi ndigte dafa tuuti lool,Measure her waist because it's very small
ndiggal,n,authority,Deñu ma jox ndiggol pur ma dem,they gave me authority to go
ndigtal,n,"command, prescription, direction",Ndigtal ko ndax ma yoonindigte ko,Direct him so that I can send him
ndigte,conj,"because, because of",Du la seetsi ndite yow baaxuloo,She will not visit you because you are not good
ndimbal,n,"help, aid, assistance",Ndimbal lañoo ut,We looking for assistance
ndimó (fiis),n,"material, fabric",Jenda na ndimo bu rafet,He bought a beautiful fabric
ndóbin,n,black bird,Ndobin bi naaw na,The black bird has flown
ndox,n,water,Rootal ko ndor mu sangu,"Fetch water for him, let him bathe"
ndoxe,adj,watery,Soos bi dafa ndoxe,The sauce is watery
nduggu,n,provisions,Nduggu bi ci firij bi jeex na,The provisions in the refrigerator is finished
nduumaar,n,turtle,Nduumaar ci teén la dee nekka,A turtle is usually in a well
ne,em,"emphasises words ending with ""n, """,,
ne,v,"to that, say, said",Moo ma wox ne dafa taayi,She told me that she is tired
neef,v,"to terminate, a child's suckling period being terminated due to early pregnancy..",Dafa néf doomam bi,She terminated her child's suckling period
neeg,n,"house, lazy, building, structure, room",Mungee bale suma neég bi,she is sweeping my house
neemeeku,v,to recognize,Ndawsii neemeekunaa kanamam,Irecognize this woman's face
neen,n,empty,Saaku neen munuta taxow,Empty bag cannot stand
neene,n,A baby,ëkati 1 ma neene bi,Lift the baby for me
neeri,n,swell,Gaañu bangee neer,The wound is swelon
neex,va,"to be sweet, be pleasant, good, be nice",Lii neex na torop,This is very sweet
neexal,n,a reward,Soo ma leetee dinaa jox neexal,If you braid my hair I will give you a reward
neexal,v,"to bribe, flatter",Soo ko neexalut du la jox ligeen bi,If you do not bribe he will not give you the job
neéw,n,have little power. This word can be use to express poverty..,Damay bugga di dimbale ñu neew dooley,I like to help the poor people
nekka,va,to be located,Mungi nekka ci waañ wi,It is located at the kitchen
nel,v,to say,Nel dangaa noppaleku,Say you are resting
nel/ndel,v,"to shave, Shave hair off the head completely..",Ndel ko,Shave him
nele/nale,dem,"there, that",Garap gaagi nele,the tree is there
nelew,v,to sleep,Xale bangee nelew,The child is sleeping
nelu,va,to be being shave,Waajii dafa nelu,This man has shaved his head
nen,n,"egg, lay eggs",Pica mangee nen,The bird is laying eggs
netali,v,to narrate (a story),Damaa netali cosaan,I am narrating history
netalikat,n,"liar, narrator",Xalabii netalikat la,This child is a liar
netetu,n,"locust bean, Biological name is paloyabitlobosa..",Gangi duy leka netetu,The guest doesn't eat locust beans
nég,n,"wait, to wait",Nég ma ñu aanda,Wait for me lets go together
nëb/nób,v,"to rot, rotten",Jén gi nob na,The fish is rotten
nëwwi,adj,"swollen, swell",Tankam bi dafa nëwwi,His foot is swollen
nga,cp,you,Nga dem Serekunda jendal ma daala,You go to Serekunda buy me a pair of shoes
nga,cm,you,Jangal nga xaleyi deemba?,You teach the children yesterday?
nga,oe,you,Fatou nga tudee sa doom bi,You named your child after Fatou
ngaana,adj,have leprosy,Feebari nggan dafa xew ci jamano,Loprosy is very common now
ngat,n,store,,
ngato,n,peanut cake,Jendal ma ngato,Buy me peanut cake
ngeen,oe,you(pl),Banjul ngeen jendee seen daala yi,You bought your shoes from Banjul
ngeen,cm,you(pl),Taka ngeen say bi bu baax,You tied the marriage well
ngeen,cp,you(pl),Ngeen toggal ma maalo,You cook rice for me
ngeenbu,va,to be in diapers,Xale bi ngeembu na,The child is in diapers
ngelaane,n,stormy,,
ngelaw/ngelew,n,"wind, windy, breezy",Bitibi dafa ngelaw torop,Its too windy outside
ngemba,n,"diapers, napkins",Ngemba yi deñu tilim,The napkins are dirty
ngénté,n,"christening, naming",Jigeen ñungee dem ci ngété li,The woman is going to the the naming ceremony
ngëmande,v,to thank,Jotalil ma kaaduk ngërmande ci mbooloomi,Extend my thanks to the crowd
ngiiroo/njiiroo,v,to scramble,Nit nyangee njiiroo maalo,the people are scrambling for rice
ngir,conj,"because, because of",Nawet bi baaxut ngir ñaaka ndox,The rainy season is not good because of lack of rain
ngóm,va,to be faith,Julit dafa wara am ngom,a muslim should have faith
ngoón,n,evening,Badou dina dem Brikama ci ngoon.,Badou will go to Brikama this evening.
ngoóra,n,"achievement, effort",Jëkarji defna ngoora.,the husband made an effort.
ngor,n,"honesty, nobility","Suma ngor meyut ma, ma wediko.",I can't in all honesty deny it.
ngot,n,"fish, Special sort of fish.",Lii ngot la tudda ci olof.,"This fish is called ""ngot"" in wolof."
nguri,n,wasp,Nguri gaa fi dekka.,The wasp lives here.
nguur,n,"government, kingdom",Nguur gangee fey legeey kat yi bu baax.,The government is paying workers very well.
ni,adj,like,Yangi mel ni mboota.,You are like a frog.
nii,v,"to offer, give out",,
nii,dem,"this way, road",Yoon wi mooy dem ci kër gi.,This road goes to the compound.
niipi seeh,n,state of being quiet,,
niit,v,"to search, Search closely with a light.",Kaay niit fii.,You illuminated here.
niiw,n,corpse,Nungee dem suuli niiw bi.,We are going to bury the corpse.
nij,v,to grind,Kumba mun naa nij ñeebe.,Kumba can grind beans.
nijaay,n,uncle,Suma nijaay dafa fiir.,My uncle is jealous.
niroo/nuroo,va,to be look like,Suñu tubéy deñu nuroo.,Our trousers look alike.
niroole/nuroole,v,to be in uniform,Taalibeyi deñu niroole yere.,The students are uniform in clothing.
nit,n,"people, human being, person",Nit ku foor la ci aaduna.,He is an important figure in the world.
njaam,n,slavery,Njaam amoona ci jamano maamya.,slavery existed during the time of our ancestors.
njaambataan,n,whooping cough,Njammbataan heten na xaleyi lool.,Whooping cough disturbs the children alot.
njaangaan,n,pupil,,
njaati gi,n,"counterpart, collegue, superior",Suma njaatigi dafa wasin.,My host has delivered.
njaboot,n,"family, house hold",Suma njaboot gi deñu tukki.,My family has travelled.
njampe,n,"a scrubber, A body scrubber utensil scrubber",Man dumaa jefoo njampe.,I don't use a scrubber.
njanga,n,"study, education",Njanga lu am solo la.,Education is a very important thing.
njar,v,to dilute,Garab gi deñu ko njar.,The medicine is diluted.
njarte,n,sales,Liñon amut njarte leegi.,Onions don't sell now.
njaxa,n,"crucibe, jar",Mag yu njëkka yi njaxa leñu dee sangoo.,The ancestors used to bath with a jar.
njëg,n,"price, value, worth",Xar mii jar na njegam.,The sheep is worth its cost.
njëkka,n,first,Tey maa njekka dem ci marse bi.,I was the first to go to the market today.
njëkkee,n,first (to do something),Moo fi njëkkeé tey.,She was the first here today.
njëkké,n,sister in law,Suma njekké indil na ma ay jaaru.,My sister-in-law brought me some ear-rings.
njël,n,"dawn, early in the morning",Seriň bi dafa bugga sangu njel.,The marabout likes to take bath at dawn.
njëlu,v,"to start early, to start very early in the morning",Doktoór bi njëlu na ci lopitaan bi tey.,The Doctor start early in the hospital today.
njënda,n,vaccine,Njënda dafa baax surtu ci xalel yi.,Vaccine is good especially in the children.
njënda,v,to vaccinate,Doctor bangee njenda xaleyi.,the doctor is vaccinating the children.
njërin,n,"importance, serviceability, usefulness, utility",Mbey tu am njereñ la ci reew.,Farming is of great importance in a country.
njiin,v,to steal (slang),Dafa buggaoom na njiin.,He wanted to steal me.
njiiroó,v,to scramble,Njiiroó lekka le bon na.,Scrambling for food is very bad.
njiit,n,"head, guide, chief, leader",Moy suñu njiit.,He is our leader.
njoloor,n,between mid-day and 2.00m,Ci njooloor la fa dee nekka.,He is usually there around mid-day.
njoof,v,to steal (slang),Moom moo fi dee njoof suma alel.,She is the one who usually steal my property.
njool,adj,"be tall, tall",Waajii dafa njool torop.,This man is very tall.
njoos,v,"to tease, bid farewell",Njoos na ko ma dow.,"She teased him, and ran."
njukka,n,"a present, a favour",Njukka na la ko.,He has done a favour for you.
njukkal,v,"to congratulate, give a favour",Mangi koo deeloo njukkal.,I am congratulating him.
njuné,n,thousand,Am naa njune dalasi.,I have thousand dalasis.
njuumte,n,"mistake, fault",Faatu defna njumte.,Faatu made a mistake.
nob,v,"to like, love",Bintu dafa nob amat.,Bintu loves Amat.
nobéel,n,love,Nobéel dafa meeti.,Love is hard.
nongu/nangu,v,to accept,Nangu naa linga wax.,I accept what you say.
noo,int,"what/how are you, contraction of ""naka nga"" = noo",Noo dee anda marse.,They usually go together to the market.
noo,n,"place, ability, mark of something, uncleanlines",,
noo,adj,dirty,,
noo,v,"to swim, can, able",,
nooki,v,to breathe,Xaj bangee nooki.,The dog is breathing.
noonu,conj,"so then, that way(manner), like that",Noonu leñu ko dee defee.,Thats the way to do it.
noor,n,"dry season, summer",Ci noor nga jaay sa gerte gi.,You sold your groundnuts in the dry season.
noot,v,"to over power, seize one's right",Be tey mungee noot yeena der yu weer yi.,They are still overpowering some of the blacks.
nooteel,n,seizure of one's right,Nooteel baaxut.,Seizure of one'e right is not good.
nooxa,v,to beat,Dinaa la nooxa.,I will beat you.
nooxoor,n,wizard,"Suy domma, yow ngay nooxoor.","If he is a witch, then you are wizard."
nooy,adj,be soft,Mbuuru mi dafa nooy.,The bread is soft.
nopaleku,n,relax,,
nopi,n,"state of being quiet, quiet",,
noppa,n,ear,Sa noppa bi dafa rey.,Your ear is big.
noppal,v,to relieve,Noppal na yaayam ci ligeey bi.,she relieved her mother from the work.
noppaleku/noppalu,v,to rest,"Suma baay, mungee noppaleku.",My father is resting.
noppi,n,"silence, silent",,
noppi,va,"to be to ready, quiet",Xadi ku noppi la.,Haddy is a quiet person.
nuga,n,luke warm(water),Ndox mi dafa nuga.,The water is warm.
nuroo,n,same,,
nuyu,v,to greet,Demal nuyu sa yaay.,Go and greet your mother.
ñaakafayda,adj,silly,Sa jabar ku ñaaka fayda la.,Your wife is a shameless lady.
ñaaka-jom,adj,shameless,Xalebi ku ñaaka jom la.,This child is shameless.
ñaaka-xel,adj,senseless,Nawkat bi dafa ñaaka-xel.,The tailor is senseless.
ñaalapaki,n,stork,,
ñaan,v,"to pray, ask for, solicit, beg",Deñu doon ñaan lekka.,Wewere begging for food.
ñaanal,v,"to pray for, ask for (someone)",Seriň bee ko ñaanal.,Them barabout prayed for him.
ñaanukaay,n,"holy place, praying place",Gunjur amna ñaanukaay.,Gunjur has a holy place.
ñaar,n,two,Naar laa wox.,I said two.
ñaarapuloo,n,stork,Suntu daf laa ñaawal rek.,Suntu is mocking at you.
ñaareel,n,second,Mooy suñu ñaareli xarit.,She is our second friend.
ñaareeli jabar,n,second wife,,
ñaata,int,how much,Lii ñaata lay jar.,How much does this cost.
ñaaw,va,to be ugly,Nobuma ku ñaaw.,I don't love ugly people.
ñaawaay,va,to be ugliness,Sa ñaawaay bi dafa yooku.,Your ugliness has increased.
ñaawal,v,"to tease, mock",Dafa ñaawal magam bu goór be mu mer.,She mocked her brother until he became upset.
ñaax,v,"to implicate, elaborate, Somebody in something",Moo ko ñaax.,He implicated her.
ñaay,v,to climb over,Saca bi dafa ñaay saaket bi.,The thief climbed over the fence.
ñagas,n,"unsmooth, rumple",Yereyi deñu ñagas.,the clothes are rumple.
ñaka,n,out of,,
ñakka,va,"to be lack, poor, scarcity",Baax na waay dafa ñaaka yar.,She is good but she is lack of home training.
ñakku,v,to vaccinate,Nakku bi tambali demba.,the vaccination commenced yesterday.
ñam,n,"food, taste",Kaay ñam lima tooga.,Come and taste what I've cooked.
ñambaas,v,to lengthen,Malaan mi laay ñambaas.,I am strengthening the sarong.
ñambi,n,cassava,Mangi lekka ñambi be suur.,I ate cassava until I'am full.
ñandaxit,n,phlegm,Fompal sa nandaxit yi.,Clean your phlegm.
ñandu,v,to blow one's nose,Gawal ñandu ñu dem.,Quickly blow your nose we go.
ñanga,adj,"be serious, be grave",Dëmba sa kanam bidafa ñanga be ñemeñuma ko.,"Yesterday your face was serious, I was scared."
ñangal,v,to scowl,Soo ñangalee sa kanam si du ma la ñemen.,If you scrowl your face I get scared of you.
ñangoor,n,spitting cobra,Ruebakat bi dafa rey ñangoor bu mak.,The hunter killed a big spitting Cobra.
ñapaaku,va,to be be sticky,Geeneel lale ñapaaku ci maraaj bi.,Take out that shiff sticking on the wall.
ñapaaxu,v,"to fall on someone, To pretend sex on someone opening..",,
ñaw,v,to sew,Defe naa ne dina ko ñaw bala juli,I think he will sew it before pray day
ñawkat,n,"tailor, seamstress",Nawkat lay ut,She is looking for a tailor/seamstress
ñax,n,"straw, reed, herbs, grass",Nungee dog ñax gi,They are cutting the grass
ñaxa,v,"to struggle, sweat, perpire",Buñu dowee dineñu ñaxa,If we run we will sweat
ñay,n,elephant,Mungi em ni ñay,You are as big as an elephant
ñedda,v,to to glade,Buntu bangee ñedda,The door is glading
ñeebe,adj,be pregnant(slang),,
ñeebe,n,beans,Neebe lekka bu baax la,Beans are good food
ñeeg,va,"to be be reluctant, reluctance",Dafa ñeeg pur jox legeey ba magam,He is reluctant to give his brother the job
ñeeño,n,"griot, praise singers",Kii suma ñeeno la,This person is mu griot
ñeer/neer,va,"to be dried, Especially with cooking..",Soos bi ñeer na,The sauce is dried
ñeex,n,soup,Yookal ma ñeex,Add some soup for me
ñef,v,"to beat, strike",Suma baay daf ma ñef damba,My father beat me yesterday
ñemeñ,va,to be brave,Dama ñemeň,I am brave
ñenent,n,four,Am naa ñenento jabarr,I have four wives
ñenentéel,n,fouth,Tey mooy ñenentéeli fan ci weer wi,Today is the fouth day in the month
ñeteel,n,third,Domba la ñeteeli fani weeri koor,Yesterday was the third of the fast month
ñibbi,v,to go home,Xalim dafaa ñibbi londi,Xalm is going home on Monday
